note,velocity,time
73,68,240
71,62,240
76,63,960
68,44,480
71,44,480
80,67,240
83,63,240
85,69,240
83,62,240
80,64,960
71,44,480
68,44,480
76,63,240
73,60,240
80,63,240
78,59,240
73,62,960
66,44,480
69,44,480
73,61,240
71,57,240
78,62,240
76,57,240
71,58,960
68,44,480
64,44,480
70,61,240
71,59,240
73,68,240
71,62,240
76,63,960
68,44,480
71,44,480
80,67,240
83,63,240
85,69,240
83,62,240
80,64,960
68,44,480
71,44,480
76,63,240
73,60,240
71,63,240
75,59,240
83,62,960
75,44,480
71,44,480
82,61,240
80,57,240
76,57,480
70,44,480
67,44,480
75,57,240
73,53,240
73,57,240
63,40,480
68,40,480
71,52,240
59,37,480
70,52,240
63,38,480
68,52,240
69,64,240
65,60,240
66,64,720
61,39,120
66,39,120
69,42,120
78,67,240
76,63,240
76,67,240
74,63,240
75,66,960
63,39,120
66,39,120
69,42,120
73,67,240
71,67,240
69,64,240
65,60,240
66,64,720
61,46,120
66,50,120
69,55,120
81,68,160
80,64,160
78,63,160
76,68,240
63,35,240
69,35,240
75,60,240
73,68,240
64,35,240
69,35,240
75,59,240
73,63,240
71,56,240
65,35,240
70,59,240
66,35,240
71,57,240
69,64,240
65,60,240
66,64,720
61,39,120
66,39,120
69,42,120
78,67,240
76,63,240
76,67,240
74,63,240
75,66,960
63,39,120
66,39,120
69,42,120
73,67,240
71,67,240
69,64,240
65,60,240
66,64,720
61,46,120
66,50,120
69,55,120
81,68,160
80,64,160
78,63,160
76,68,240
63,35,240
69,35,240
75,60,240
80,64,160
78,61,160
76,60,160
75,63,240
64,29,240
73,59,240
69,29,240
78,63,160
76,60,160
75,60,160
73,71,240
69,37,240
66,37,240
71,66,240
73,80,240
71,73,240
64,42,240
68,42,240
73,84,240
62,48,240
71,79,240
68,48,240
73,86,240
63,55,240
69,55,240
71,89,240
73,88,240
61,70,240
59,64,240
71,81,240
71,69,960
76,85,960
64,69,960
68,69,960
68,69,240
71,69,240
80,86,240
76,69,240
71,66,240
76,66,240
80,66,240
83,82,240
76,70,240
85,89,240
80,70,240
73,70,240
83,81,240
71,64,240
68,66,960
71,66,960
76,66,960
80,83,960
68,66,240
76,82,240
71,66,240
64,66,240
71,61,240
73,78,240
68,61,240
61,61,240
68,66,240
80,82,240
71,66,240
66,61,240
78,77,240
61,64,960
73,81,960
66,64,960
69,64,960
61,62,240
66,62,240
73,79,240
69,62,240
63,58,240
66,58,240
71,73,240
71,61,240
78,77,240
68,61,240
66,61,240
64,58,240
76,73,240
64,59,960
71,74,960
68,59,960
59,59,960
68,62,240
70,79,240
64,62,240
58,62,240
59,61,240
71,77,240
64,70,240
73,88,240
61,70,240
68,70,240
59,64,240
71,81,240
64,64,240
68,64,240
64,69,960
76,85,960
68,69,960
71,69,960
68,69,240
71,69,240
80,86,240
76,69,240
71,66,240
76,66,240
80,66,240
83,82,240
80,70,240
76,70,240
73,70,240
85,89,240
71,64,240
83,81,240
71,66,960
80,83,960
76,66,960
68,66,960
71,66,240
76,82,240
68,66,240
64,66,240
61,61,240
73,78,240
68,61,240
71,61,240
68,66,240
71,66,240
80,82,240
78,77,240
66,61,240
61,64,960
66,64,960
73,81,960
69,64,960
61,62,240
66,62,240
69,62,240
73,79,240
66,58,240
63,58,240
71,73,240
66,61,240
78,77,240
68,61,240
71,61,240
64,58,240
76,73,240
68,59,960
71,74,960
64,59,960
59,59,960
58,59,240
70,74,240
64,59,240
68,59,240
64,58,240
68,58,240
71,72,240
59,58,240
61,58,240
64,58,240
68,58,240
73,72,240
70,67,240
58,52,240
59,52,960
64,52,960
71,66,960
68,52,960
58,44,240
64,44,240
68,44,240
70,56,240
68,42,240
71,53,240
59,42,240
64,42,240
68,40,240
73,51,240
64,40,240
61,40,240
58,37,240
70,48,240
64,37,960
71,47,960
68,37,960
59,37,960
60,62,390
64,67,360
69,69,330
72,73,540
72,62,240
60,60,480
66,60,480
72,68,360
71,62,60
69,62,60
62,63,120
67,71,120
62,62,120
67,62,120
74,70,120
64,68,120
67,68,120
72,68,120
76,75,120
67,66,120
72,66,120
79,73,120
67,69,960
71,69,960
74,78,960
68,64,240
71,64,240
76,81,120
74,71,120
72,66,120
71,59,120
72,55,120
83,55,30
78,59,120
84,59,120
72,57,120
83,55,30
84,58,120
78,58,120
72,55,120
83,55,30
84,59,120
78,59,120
68,64,240
71,64,240
76,81,120
74,71,120
72,66,120
71,59,120
72,55,120
83,55,30
78,59,120
84,59,120
72,57,120
83,55,30
84,58,120
78,58,120
72,55,120
83,55,30
84,59,120
78,59,120
68,64,240
71,64,240
76,81,120
74,71,120
72,66,120
71,59,120
60,62,390
64,67,360
69,69,330
72,73,540
72,62,240
60,60,480
66,60,480
72,68,360
71,62,60
69,62,60
62,63,120
67,71,120
62,62,120
67,62,120
74,70,120
64,68,120
67,68,120
72,68,120
76,75,120
67,66,120
72,66,120
79,73,120
67,69,960
71,69,960
74,78,960
71,64,240
76,81,120
74,71,120
73,66,120
71,59,120
79,55,30
74,59,120
71,59,120
78,59,120
79,55,30
74,58,120
78,58,120
71,58,120
79,55,30
74,59,120
78,59,120
71,59,120
71,64,240
76,81,120
74,71,120
73,66,120
71,59,120
79,55,30
74,59,120
71,59,120
78,59,120
79,55,30
74,58,120
78,58,120
71,58,120
79,55,30
74,59,120
78,59,120
71,59,120
71,64,240
76,81,120
74,71,120
73,66,120
71,59,120
71,55,30
66,59,120
62,59,120
69,59,120
71,55,30
66,58,120
69,58,120
62,58,120
71,55,30
66,59,120
69,59,120
60,59,120
61,64,240
69,81,132
67,71,132
66,66,132
64,59,132
62,80,132
61,68,132
59,66,132
57,70,132
50,73,132
49,64,132
47,63,132
45,61,132
60,62,390
64,67,360
69,69,330
72,73,540
72,62,240
60,60,480
66,60,480
72,68,360
71,62,60
69,62,60
62,63,120
67,71,120
62,62,120
67,62,120
74,70,120
64,68,120
67,68,120
72,68,120
76,75,120
67,66,120
72,66,120
79,73,120
67,69,960
71,69,960
74,78,960
68,64,240
71,64,240
76,81,120
74,71,120
72,66,120
71,59,120
72,55,120
83,55,30
78,59,120
84,59,120
72,57,120
83,55,30
84,58,120
78,58,120
72,55,120
83,55,30
84,59,120
78,59,120
68,64,240
71,64,240
76,81,120
74,71,120
72,66,120
71,59,120
72,55,120
83,55,30
78,59,120
84,59,120
72,57,120
83,55,30
84,58,120
78,58,120
72,55,120
83,55,30
84,59,120
78,59,120
68,64,240
71,64,240
76,81,120
74,71,120
72,66,120
71,59,120
60,62,390
64,67,360
69,69,330
72,73,540
72,62,240
60,60,480
66,60,480
72,68,360
71,62,60
69,62,60
62,63,120
67,71,120
62,62,120
67,62,120
74,70,120
64,68,120
67,68,120
72,68,120
76,75,120
67,66,120
72,66,120
79,73,120
67,69,960
71,69,960
74,78,960
71,64,240
76,81,120
74,71,120
73,66,120
71,59,120
79,55,30
74,59,120
71,59,120
78,59,120
79,55,30
74,58,120
78,58,120
71,58,120
79,55,30
74,59,120
78,59,120
71,59,120
71,64,240
76,81,120
74,71,120
73,66,120
71,59,120
79,55,30
74,59,120
71,59,120
78,59,120
79,55,30
74,58,120
78,58,120
71,58,120
79,55,30
74,59,120
78,59,120
71,59,120
71,64,240
76,81,120
74,71,120
73,66,120
71,59,120
80,55,30
75,59,120
71,59,120
78,59,120
80,55,30
75,58,120
78,58,120
71,58,120
80,55,30
75,59,120
78,59,120
71,59,120
80,55,30
71,59,120
75,59,120
78,59,120
85,55,30
75,59,120
78,59,120
83,59,120
85,55,30
75,58,120
83,58,120
78,58,120
85,55,30
75,59,120
83,59,120
78,59,120
85,55,30
83,59,120
