note,velocity,time
65,70,240
65,66,120
67,70,480
69,70,480
70,71,240
72,66,120
74,70,480
75,75,240
77,79,240
79,83,120
81,75,120
82,76,60
84,67,60
82,73,60
84,66,60
82,70,60
84,64,60
82,70,60
84,64,60
81,70,240
79,56,180
77,46,60
82,53,120
82,49,120
74,44,900
75,45,60
79,51,120
79,46,120
69,44,900
70,45,60
74,49,120
74,47,120
64,44,960
65,55,120
69,58,120
72,59,240
75,60,240
79,67,360
77,63,58
77,55,60
86,75,120
84,64,120
82,55,60
84,54,60
82,60,120
79,58,240
77,55,480
79,45,60
82,51,120
82,46,120
69,44,840
70,42,60
74,41,60
77,49,120
77,47,120
64,44,960
65,55,120
69,58,120
72,59,240
75,60,240
74,56,60
75,56,60
74,61,120
72,56,240
74,64,120
65,57,120
70,59,480
69,64,240
67,61,240
65,70,240
65,66,120
67,70,480
69,70,480
70,71,240
72,66,120
74,70,480
75,75,240
77,79,240
79,83,120
81,75,120
82,76,60
84,67,60
82,73,60
84,66,60
82,70,60
84,64,60
82,70,60
84,64,60
81,70,240
79,56,180
77,46,60
82,53,120
82,49,120
74,44,900
75,45,60
79,51,120
79,46,120
69,44,900
70,45,60
74,49,120
74,47,120
64,44,960
65,55,120
69,58,120
72,59,240
75,60,240
79,67,360
77,63,57
77,49,60
86,67,120
84,61,120
82,50,60
84,49,60
82,57,120
79,52,240
77,49,480
79,45,60
82,51,120
82,46,120
69,44,840
70,42,60
74,41,60
77,49,120
77,47,120
64,44,960
65,55,120
69,58,120
72,59,240
75,60,240
74,56,60
75,56,60
74,61,120
72,56,240
74,64,120
65,57,120
70,59,480
69,44,240
70,44,240
72,46,360
74,42,120
72,46,480
76,49,240
77,51,240
79,55,360
81,52,120
79,56,480
77,52,240
74,49,240
72,56,240
74,51,240
72,56,480
76,50,240
77,55,120
79,59,160
81,56,160
79,56,160
77,53,720
74,50,240
72,51,240
74,49,240
72,51,480
76,49,240
77,51,240
79,55,240
81,52,240
79,50,60
81,47,60
79,52,60
81,49,60
79,56,60
81,49,60
79,51,60
81,49,60
77,52,240
74,49,240
72,56,240
74,51,240
72,56,480
76,55,240
77,59,240
79,64,160
81,61,160
79,61,160
77,66,360
67,62,120
77,68,160
66,62,160
77,69,97
77,66,60
65,70,240
65,66,120
67,70,480
69,70,480
70,71,240
72,66,120
74,70,480
75,75,240
77,79,240
79,83,120
81,75,120
82,76,60
84,67,60
82,73,60
84,66,60
82,70,60
84,64,60
82,70,60
84,64,60
81,70,240
79,56,180
77,51,60
82,60,120
82,55,120
74,49,900
75,50,60
79,58,120
79,51,120
69,49,900
70,50,60
74,56,120
74,52,120
64,49,960
65,55,120
69,58,120
72,59,240
75,60,240
79,67,360
77,63,57
77,55,60
86,75,120
84,68,120
82,56,60
84,55,60
82,64,120
79,58,240
77,55,480
79,45,60
82,51,120
82,46,120
69,44,840
70,42,60
74,41,60
77,49,120
77,47,120
64,44,960
65,55,120
69,58,120
72,59,240
75,60,240
74,56,60
75,56,60
74,61,120
72,56,240
74,64,120
65,57,120
70,59,480
69,44,240
70,44,240
72,46,360
74,42,120
72,46,480
76,49,240
77,51,240
79,55,360
81,52,120
79,56,480
77,52,240
74,49,240
72,56,240
74,51,240
72,56,480
76,50,240
77,55,120
79,59,160
81,56,160
79,56,160
77,53,720
74,50,240
72,51,240
74,49,240
72,51,480
76,49,240
77,51,240
79,55,240
81,52,240
79,50,60
81,47,60
79,52,60
81,49,60
79,56,60
81,49,60
79,51,60
81,49,60
77,52,240
74,49,240
72,56,240
74,51,240
72,56,480
76,55,240
77,59,240
79,64,160
81,61,160
79,61,160
77,66,360
67,62,120
77,68,160
66,62,160
77,69,96
77,66,60
65,70,240
65,66,120
67,70,480
69,70,480
70,71,240
72,66,120
74,70,480
75,75,240
77,79,240
79,83,120
81,75,120
82,76,60
84,67,60
82,73,60
84,66,60
82,70,60
84,64,60
82,70,60
84,64,60
81,70,240
79,56,180
77,51,60
82,60,120
82,55,120
74,49,900
75,50,60
79,58,120
79,51,120
69,49,900
70,50,60
74,56,120
74,52,120
64,49,960
65,55,120
69,58,120
72,59,240
75,60,240
79,67,360
77,63,57
77,49,60
86,67,120
84,61,120
82,50,60
84,49,60
82,57,120
79,52,240
77,49,480
79,45,60
82,51,120
82,46,120
69,44,840
70,42,60
74,41,60
77,49,120
77,47,120
64,44,960
65,55,120
69,58,120
72,59,240
75,60,240
74,56,60
75,56,60
74,61,120
72,56,240
74,64,120
65,57,120
70,59,480
77,46,120
77,37,120
76,41,480
73,37,240
72,37,240
70,42,240
73,37,120
72,37,60
73,37,60
72,40,360
70,37,240
64,41,120
77,46,120
77,37,120
76,41,480
73,37,240
72,37,240
70,45,160
72,40,160
70,39,160
64,42,960
77,46,120
77,37,120
76,41,480
73,37,240
72,37,240
70,42,240
73,37,120
72,37,60
73,33,60
72,37,60
73,35,60
72,37,60
73,34,60
72,37,60
73,37,60
70,37,240
64,41,120
77,46,120
77,37,120
76,41,480
73,37,360
72,37,120
70,45,160
72,40,160
70,39,160
69,42,720
