note,velocity,time
71,66,120
69,64,120
68,64,120
69,64,120
72,71,120
74,66,120
72,63,120
71,63,120
72,63,120
76,72,120
77,66,120
76,63,120
75,63,120
76,63,120
83,70,120
81,64,120
80,64,120
81,64,120
83,69,120
81,64,120
80,64,120
81,64,120
84,72,480
81,68,120
84,65,120
79,63,30
81,63,30
83,80,120
78,54,120
81,64,120
76,58,120
79,69,120
78,54,120
81,64,120
79,65,30
81,65,30
83,82,120
78,56,120
81,66,120
76,58,120
79,69,120
78,55,120
81,65,120
79,64,30
81,64,60
83,79,120
78,57,120
81,68,120
76,58,120
79,69,120
75,56,120
78,66,120
76,69,450
71,66,120
69,64,120
68,64,120
69,64,120
72,71,120
74,66,120
72,63,120
71,63,120
72,63,120
76,72,120
77,66,120
76,63,120
75,63,120
76,63,120
83,70,120
81,64,120
80,64,120
81,64,120
83,69,120
81,64,120
80,64,120
81,64,120
84,72,480
81,68,120
84,65,120
79,63,30
81,63,30
83,80,120
78,54,120
81,64,120
76,58,120
79,69,120
78,54,120
81,64,120
79,65,30
81,65,30
83,82,120
78,56,120
81,66,120
76,58,120
79,69,120
78,55,120
81,65,120
79,64,30
81,64,60
83,79,120
78,57,120
81,68,120
76,58,120
79,69,120
75,56,120
78,66,120
76,69,450
72,56,120
76,56,120
74,56,120
77,56,120
76,66,120
79,66,120
76,57,120
79,57,120
81,64,120
79,57,120
77,57,120
76,57,120
74,65,480
71,65,240
67,59,240
72,56,120
76,56,120
74,56,120
77,56,120
76,66,120
79,66,120
76,57,120
79,57,120
81,64,120
79,57,120
77,57,120
76,57,120
74,65,480
71,65,480
69,56,120
72,56,120
71,56,120
74,56,120
72,66,120
76,66,120
72,57,120
76,57,120
77,64,120
76,57,120
74,57,120
72,57,120
71,65,480
68,65,240
64,59,240
69,56,120
72,56,120
71,56,120
74,56,120
72,66,120
76,66,120
72,57,120
76,57,120
77,64,120
76,57,120
74,57,120
72,57,120
71,65,480
68,65,480
71,56,120
69,56,120
68,56,120
69,56,120
72,59,120
74,62,120
72,57,120
71,57,120
72,57,120
76,66,120
77,63,120
76,58,120
75,58,120
76,58,120
83,70,120
81,63,120
80,63,120
81,63,120
83,71,120
81,64,120
80,64,120
81,64,120
84,76,480
81,62,120
