note,velocity,time
66,46,480
70,46,480
73,55,480
61,35,480
66,46,480
70,46,480
73,55,480
61,35,1260
66,44,780
70,44,480
73,52,480
72,47,300
75,56,300
65,39,870
68,41,840
73,46,810
77,52,780
58,35,540
61,40,510
63,46,480
70,46,480
69,49,480
68,51,1440
75,62,480
73,61,480
72,59,360
68,52,480
73,58,60
72,53,60
66,49,480
70,55,480
62,49,480
68,55,480
63,52,480
66,59,480
60,49,480
70,56,480
61,49,960
68,56,360
66,47,60
68,42,60
66,55,240
65,47,240
58,49,480
61,47,960
63,52,960
57,39,480
60,42,960
68,48,960
61,49,480
68,56,480
77,59,480
65,53,480
61,55,960
75,61,360
73,57,60
75,52,60
73,64,240
72,57,240
65,57,960
70,63,480
65,56,480
58,52,960
66,59,480
65,56,480
63,59,240
58,52,1440
65,56,240
66,59,480
63,55,960
65,55,960
57,39,480
62,52,1920
65,52,1920
59,36,480
58,33,960
71,62,360
65,50,960
68,50,960
70,57,60
71,52,60
70,62,240
69,56,240
66,50,960
70,62,240
75,58,240
73,63,240
72,60,240
63,52,960
66,52,960
70,64,480
69,59,480
65,52,960
68,64,480
73,66,480
65,52,960
68,52,960
71,64,360
70,56,60
71,57,60
70,59,240
69,57,240
66,50,960
70,62,100
75,63,100
74,58,100
73,63,100
72,61,100
71,58,100
63,47,960
66,47,960
70,64,480
69,61,480
65,52,960
68,64,480
77,67,480
75,71,360
66,63,960
73,67,60
75,61,60
73,71,240
72,64,240
65,62,480
70,70,480
65,64,480
65,59,960
69,67,960
61,57,480
58,51,540
61,56,30
63,60,480
70,60,720
62,61,180
63,62,60
65,59,60
63,66,240
62,63,240
63,67,720
62,57,240
63,61,240
65,56,240
61,56,480
66,62,480
65,58,480
60,51,480
56,47,960
61,52,960
58,47,240
63,51,960
66,51,960
57,41,240
58,46,240
57,39,240
56,45,240
61,49,960
65,49,960
55,39,240
56,42,480
58,47,240
63,51,960
66,51,960
57,41,240
58,46,240
57,39,240
56,45,240
61,49,960
65,49,960
55,39,240
56,42,480
58,49,960
63,49,960
55,45,240
54,39,240
55,42,480
54,45,240
58,49,960
63,49,960
53,39,240
54,42,480
54,42,960
58,48,960
65,48,480
60,42,480
53,34,960
56,34,960
61,38,960
66,46,480
70,46,480
73,55,480
61,35,480
66,46,480
70,46,480
73,55,480
61,35,1260
73,52,480
66,44,780
70,44,480
72,47,300
75,56,300
65,39,1050
68,41,1020
73,46,990
77,52,960
68,36,240
73,36,240
80,37,1920
