note,velocity,time
57,31,240
50,31,240
50,31,240
57,31,240
50,36,240
57,36,240
50,31,240
57,31,240
50,31,240
57,31,240
50,35,240
57,35,240
69,39,80
71,39,80
69,41,80
66,44,480
69,44,240
66,42,60
74,45,60
78,42,60
66,45,60
76,45,240
66,37,480
74,42,240
66,42,60
69,41,60
66,41,60
71,45,240
69,45,240
66,45,240
66,41,240
69,41,240
71,41,240
66,41,120
71,41,120
69,41,120
71,41,480
69,41,480
66,41,480
62,42,60
66,42,60
62,42,60
68,42,60
66,42,60
62,45,480
66,45,480
69,45,240
71,42,240
66,44,60
62,44,60
62,44,60
68,44,60
66,44,60
69,45,240
62,45,480
66,45,480
71,42,240
62,44,120
66,44,120
66,44,60
62,44,60
68,44,60
62,47,240
64,47,240
69,47,240
61,42,240
69,42,240
69,42,120
61,42,120
69,42,240
61,42,240
73,44,80
74,44,80
73,44,80
71,47,480
74,47,240
79,49,60
71,49,60
83,45,60
71,45,60
81,48,240
71,41,480
79,42,240
71,42,60
67,42,60
67,42,60
71,42,60
74,42,60
78,46,240
74,46,240
71,46,240
67,46,240
78,42,240
74,42,240
71,42,240
67,42,240
78,42,120
74,42,120
71,42,120
67,42,120
78,42,480
74,42,480
67,42,480
71,42,480
71,42,60
67,42,60
73,42,60
71,42,60
67,42,60
74,46,240
67,46,480
71,46,480
76,42,240
71,45,60
67,45,60
67,45,60
71,45,60
73,45,60
74,47,240
67,47,480
71,47,480
76,44,240
71,45,60
67,45,60
67,45,60
71,45,60
73,45,60
74,49,240
69,49,240
67,49,240
74,45,240
66,45,240
74,45,120
66,45,120
74,45,240
66,45,240
62,27,240
69,27,240
62,27,240
69,27,240
62,33,240
69,33,240
62,27,240
69,27,240
62,27,240
69,27,240
62,31,240
69,31,240
81,35,80
83,35,80
81,36,80
78,39,480
81,39,240
78,39,60
86,39,60
90,37,60
78,37,60
88,41,240
78,33,480
86,37,240
78,37,60
81,36,60
78,36,60
78,39,240
81,39,240
83,39,240
78,37,240
81,37,240
83,37,240
83,37,120
78,37,120
81,37,120
78,37,480
81,37,480
83,37,480
74,38,60
78,38,60
74,38,60
80,38,60
78,38,60
81,41,240
78,41,480
74,41,480
83,37,240
78,39,60
74,39,60
80,38,60
74,38,60
78,38,60
78,41,480
74,41,480
81,41,240
83,37,240
74,39,60
78,39,60
80,39,60
74,39,60
78,39,60
74,41,240
76,41,240
81,41,240
73,38,240
81,38,240
73,38,120
81,38,120
73,38,240
81,38,240
85,39,80
86,39,80
85,39,80
83,42,480
86,42,240
91,44,60
83,44,60
95,39,60
83,39,60
93,42,240
83,37,480
91,38,240
83,38,60
79,38,60
83,38,60
79,38,60
86,38,60
83,42,240
86,42,240
90,42,240
79,42,240
83,37,240
86,37,240
90,37,240
79,37,240
83,37,120
86,37,120
90,37,120
79,37,120
83,37,480
86,37,480
90,37,480
79,37,480
79,38,60
83,38,60
85,38,60
83,38,60
79,38,60
83,42,480
79,42,480
86,42,240
88,38,240
83,39,60
79,39,60
85,39,60
83,39,60
79,39,60
86,42,240
83,42,480
79,42,480
88,39,240
83,39,60
79,39,60
85,39,60
83,39,60
79,39,60
86,44,240
81,44,240
79,44,240
86,39,240
78,39,240
86,39,120
78,39,120
86,39,240
78,39,240
61,75,120
64,75,480
59,68,120
61,68,120
57,68,60
62,68,120
66,71,480
59,68,120
61,75,120
64,75,480
59,69,120
61,69,120
57,69,60
62,68,120
66,71,480
59,68,120
74,56,240
78,56,80
68,56,240
80,56,80
78,56,80
76,60,120
73,60,120
69,60,120
73,59,120
76,59,120
69,59,120
76,59,960
73,59,960
69,59,960
60,52,480
64,52,480
68,48,240
72,48,240
76,48,240
68,47,240
72,47,240
76,47,240
68,46,480
72,46,480
76,46,480
72,34,60
76,34,60
76,34,60
72,34,60
77,34,60
72,37,480
76,37,480
79,37,240
81,34,240
72,34,60
76,34,60
72,34,60
76,34,60
77,34,60
71,38,480
77,38,480
79,38,240
81,34,240
67,34,120
71,34,120
76,34,120
67,34,120
71,34,120
74,34,120
74,35,60
76,35,60
64,39,480
74,39,240
72,34,240
64,34,120
72,34,120
64,34,120
72,34,120
64,39,360
72,39,360
64,75,120
67,75,480
62,68,120
64,68,120
60,68,60
65,68,120
69,71,480
62,68,120
64,75,120
67,75,480
62,69,120
64,69,120
60,69,60
65,68,120
69,71,480
62,68,120
77,56,240
81,56,80
71,56,240
83,56,80
81,56,80
79,60,120
76,60,120
72,60,120
76,59,120
79,59,120
72,59,120
79,59,960
76,59,960
72,59,960
63,52,480
67,52,480
71,48,240
75,48,240
79,48,240
71,47,240
75,47,240
79,47,240
71,46,480
75,46,480
79,46,480
75,34,60
79,34,60
79,34,120
75,34,120
80,34,120
75,37,480
79,37,480
82,37,240
84,34,240
75,34,60
79,34,60
75,34,60
79,34,60
80,34,60
74,38,480
80,38,480
82,38,240
84,34,240
70,34,120
74,34,120
79,34,120
70,34,120
